,Model 1,Model 2,Model 3
COVID_Dummy,,,0.7656393772809973
FX_Lag1,,0.033912566195919445,
FX_Return,-1.6892715143011998,,-1.6949829089205142
Inflation,1.105538210932935,1.1097777411667633,1.3002856061577253
Oil_Lag1,,-0.0030691534118073,
Oil_Return,0.117874330853827,,0.11937375322575311
Real_Repo,-0.2655029413436818,-0.46276299275992305,-0.07896462753774791
const,2.359085076167372,2.9964264113691716,0.8667534745258275
R_squared,0.4078922244520383,0.06087376942297362,0.41327379654407137
Adj_R_squared,0.3890951522124204,0.03082173004450872,0.38980474840583423
AIC,709.5757485254412,765.1817908843683,710.3796668818014
BIC,723.951735141447,779.5194631366462,727.6308508210084
