Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
02-01-2015,8395.450195,8410.599609,8288.700195,8288.700195,101900
05-01-2015,8378.400391,8445.599609,8363.900391,8407.950195,118200
06-01-2015,8127.350098,8327.849609,8111.350098,8325.299805,172800
07-01-2015,8102.100098,8151.200195,8065.450195,8118.649902,164100
08-01-2015,8234.599609,8243.5,8167.299805,8191.399902,143800
09-01-2015,8284.5,8303.299805,8190.799805,8285.450195,148000
12-01-2015,8323,8332.599609,8245.599609,8291.349609,103200
13-01-2015,8299.400391,8356.650391,8267.900391,8346.150391,129600
14-01-2015,8277.549805,8326.450195,8236.650391,8307.25,146100
15-01-2015,8494.150391,8527.099609,8380.549805,8424.5,232100
16-01-2015,8513.799805,8530.75,8452.25,8504.049805,176000
19-01-2015,8550.700195,8570.950195,8531.5,8550.049805,125400
20-01-2015,8695.599609,8707.900391,8574.5,8575.099609,158700
21-01-2015,8729.5,8741.849609,8689.599609,8719.650391,185900
22-01-2015,8761.400391,8774.150391,8727,8745.849609,175500
23-01-2015,8835.599609,8866.400391,8795.400391,8827.950195,191200
27-01-2015,8910.5,8925.049805,8825.450195,8871.349609,192000
28-01-2015,8914.299805,8985.049805,8874.049805,8902.75,185100
29-01-2015,8952.349609,8966.650391,8861.25,8901.5,256300
30-01-2015,8808.900391,8996.599609,8775.099609,8996.599609,267300
02-02-2015,8797.400391,8840.799805,8751.099609,8802.5,210100
03-02-2015,8756.549805,8837.299805,8726.650391,8823.150391,208700
04-02-2015,8723.700195,8792.849609,8704.400391,8789.150391,195300
05-02-2015,8711.700195,8838.450195,8683.650391,8733.099609,173600
06-02-2015,8661.049805,8726.200195,8645.549805,8696.849609,171300
09-02-2015,8526.349609,8605.549805,8516.349609,8584.400391,146800
10-02-2015,8565.549805,8646.25,8470.5,8478.099609,196200
11-02-2015,8627.400391,8651.950195,8593.650391,8603.299805,161600
12-02-2015,8711.549805,8732.549805,8599.25,8676.950195,158800
13-02-2015,8805.5,8822.099609,8729.650391,8741.5,221900
16-02-2015,8809.349609,8870.099609,8793.400391,8831.400391,136400
18-02-2015,8869.099609,8894.299805,8808.900391,8811.549805,147600
19-02-2015,8895.299805,8913.450195,8794.450195,8883.049805,213300
20-02-2015,8833.599609,8899.950195,8816.299805,8895.5,197600
23-02-2015,8754.950195,8869,8736.099609,8856.849609,139600
24-02-2015,8762.099609,8800.5,8726.75,8772.900391,149800
25-02-2015,8767.25,8840.650391,8751.400391,8801.900391,135200
26-02-2015,8683.849609,8786.049805,8669.450195,8779,217500
27-02-2015,8844.599609,8856.950195,8717.450195,8729.5,249500
02-03-2015,8956.75,8972.349609,8885.450195,8953.849609,218100
03-03-2015,8996.25,9008.400391,8925.549805,8962.849609,177800
04-03-2015,8922.650391,9119.200195,8893.950195,9109.150391,248400
05-03-2015,8937.75,8957.549805,8849.349609,8929.400391,160100
09-03-2015,8756.75,8891.299805,8740.450195,8891.150391,155500
10-03-2015,8712.049805,8778,8677.349609,8769.75,163800
11-03-2015,8699.950195,8755.599609,8682.349609,8728.75,172800
12-03-2015,8776,8787.200195,8732.900391,8740.650391,173900
13-03-2015,8647.75,8849.75,8631.75,8844.049805,179200
16-03-2015,8633.150391,8663.549805,8612,8656.75,163300
17-03-2015,8723.299805,8742.549805,8630.799805,8689.099609,177000
18-03-2015,8685.900391,8747.25,8664,8742.900391,156400
19-03-2015,8634.650391,8788.200195,8614.650391,8749.450195,163500
20-03-2015,8570.900391,8627.900391,8553,8627.900391,174600
23-03-2015,8550.900391,8608.349609,8540.549805,8591.549805,150700
24-03-2015,8542.950195,8627.75,8535.849609,8537.049805,156700
25-03-2015,8530.799805,8573.75,8516.549805,8568.900391,161000
26-03-2015,8342.150391,8499.450195,8325.349609,8474.950195,280100
27-03-2015,8341.400391,8413.200195,8269.150391,8396,193000
30-03-2015,8492.299805,8492.299805,8380.75,8390.950195,134700
31-03-2015,8491,8550.450195,8454.150391,8527.599609,167200
01-04-2015,8586.25,8603.400391,8464.75,8483.700195,125500
06-04-2015,8659.900391,8667.549805,8573.75,8615.799805,146900
07-04-2015,8660.299805,8693.599609,8586.849609,8684.450195,148700
08-04-2015,8714.400391,8730.5,8679.799805,8698.950195,148200
09-04-2015,8778.299805,8785.5,8682.450195,8756.200195,152700
10-04-2015,8780.349609,8787.400391,8733.599609,8774.349609,139000
13-04-2015,8834,8841.650391,8762.099609,8801.75,121600
16-04-2015,8706.700195,8760,8645.650391,8757.049805,142900
17-04-2015,8606,8699.849609,8596.700195,8698.049805,150400
20-04-2015,8448.099609,8619.950195,8422.75,8618.799805,148900
21-04-2015,8377.75,8469.349609,8352.700195,8416.099609,407800
22-04-2015,8429.700195,8449.950195,8284.700195,8400.400391,171800
23-04-2015,8398.299805,8504.950195,8361.849609,8478.200195,156000
24-04-2015,8305.25,8413.299805,8273.349609,8405.700195,173600
27-04-2015,8213.799805,8334.450195,8202.349609,8330.549805,171500
28-04-2015,8285.599609,8308,8185.149902,8215.549805,174600
29-04-2015,8239.75,8308.200195,8219.200195,8274.799805,160400
30-04-2015,8181.5,8229.400391,8144.75,8224.5,267700
04-05-2015,8331.950195,8346,8220.450195,8230.049805,131700
05-05-2015,8324.799805,8355.650391,8280.599609,8338.400391,155500
06-05-2015,8097,8331.950195,8083,8316.599609,209600
07-05-2015,8057.299805,8122.600098,7997.149902,8077,161600
08-05-2015,8191.5,8224.950195,8123.450195,8131.5,183100
11-05-2015,8325.25,8332.75,8224.650391,8243.200195,192000
12-05-2015,8126.950195,8326.650391,8115.299805,8326.150391,173400
13-05-2015,8235.450195,8254.950195,8089.799805,8181.549805,169800
14-05-2015,8224.200195,8236.25,8137.299805,8232.450195,134800
15-05-2015,8262.349609,8279.200195,8212.200195,8240.299805,129800
18-05-2015,8373.650391,8384.599609,8271.950195,8284.950195,148700
19-05-2015,8365.650391,8427.799805,8335,8356.200195,140300
20-05-2015,8423.25,8440.349609,8391.450195,8392.650391,123600
21-05-2015,8421,8446.349609,8382.5,8434.5,143800
22-05-2015,8458.950195,8489.549805,8420.599609,8432.5,187300
25-05-2015,8370.25,8441.950195,8364.150391,8438.150391,121300
26-05-2015,8339.349609,8378.900391,8320.049805,8377.099609,116800
27-05-2015,8334.599609,8342.849609,8277.950195,8302.75,165500
28-05-2015,8319,8364.5,8270.150391,8345.700195,232300
29-05-2015,8433.650391,8443.900391,8305.700195,8327.099609,363900
01-06-2015,8433.400391,8467.150391,8405.400391,8417.25,122200
02-06-2015,8236.450195,8445.349609,8226.049805,8442.799805,146800
03-06-2015,8135.100098,8236.700195,8094.149902,8232.450195,171400
04-06-2015,8130.649902,8160.049805,8056.75,8155.149902,154700
05-06-2015,8114.700195,8191,8100.149902,8119.149902,162100
08-06-2015,8044.149902,8131,8030.549805,8124.350098,135900
09-06-2015,8022.399902,8057.149902,8005.149902,8026.5,136000
10-06-2015,8124.450195,8152.25,8023.799805,8024.149902,136800
11-06-2015,7965.350098,8163.049805,7958.25,8157.299805,166200
12-06-2015,7982.899902,7995.600098,7940.299805,7959.850098,136600
15-06-2015,8013.899902,8057.700195,7944.850098,7986.600098,133000
16-06-2015,8047.299805,8061.850098,7952.350098,8004.200195,124000
17-06-2015,8091.549805,8136.850098,8048.950195,8084.200195,152500
18-06-2015,8174.600098,8186.899902,8101.799805,8113.700195,144800
19-06-2015,8224.950195,8250.799805,8195.650391,8201.150391,147100
22-06-2015,8353.099609,8369.450195,8257.400391,8259.299805,122700
23-06-2015,8381.549805,8398.450195,8334.950195,8377.450195,131700
24-06-2015,8360.849609,8421.349609,8338.900391,8399.400391,130100
25-06-2015,8398,8423.150391,8329.5,8336.25,201200
26-06-2015,8381.099609,8408.549805,8339.700195,8393.950195,110600
29-06-2015,8318.400391,8329.450195,8195.650391,8247.049805,132000
30-06-2015,8368.5,8378,8298.950195,8316.349609,158500
01-07-2015,8453.049805,8481.599609,8370.150391,8376.25,131800
02-07-2015,8444.900391,8479.25,8433.200195,8471.950195,112000
03-07-2015,8484.900391,8497.75,8424.150391,8440.099609,88400
06-07-2015,8522.150391,8533.150391,8386.150391,8386.150391,101500
07-07-2015,8510.799805,8561.349609,8483.849609,8525.5,122200
08-07-2015,8363.049805,8457.5,8341.400391,8439.200195,188100
09-07-2015,8328.549805,8400.299805,8323,8364.849609,131300
10-07-2015,8360.549805,8377.099609,8315.400391,8365.700195,154100
13-07-2015,8459.650391,8471.650391,8355.400391,8397.25,117800
14-07-2015,8454.099609,8480.25,8424.099609,8470.599609,101700
15-07-2015,8523.799805,8531.400391,8462.950195,8463.400391,105500
16-07-2015,8608.049805,8616.099609,8542.900391,8546.150391,116000
17-07-2015,8609.849609,8642.950195,8593.150391,8623.650391,105000
20-07-2015,8603.450195,8624.099609,8559,8623.900391,90600
21-07-2015,8529.450195,8646.75,8517.900391,8601.5,164100
22-07-2015,8633.5,8643.900391,8498.650391,8512.25,136800
23-07-2015,8589.799805,8654.75,8573.799805,8643.950195,132900
24-07-2015,8521.549805,8589.150391,8513.5,8588.150391,127400
27-07-2015,8361,8492.200195,8351.549805,8492.099609,136600
28-07-2015,8337,8397.400391,8321.75,8371.099609,174600
29-07-2015,8375.049805,8381.5,8338.450195,8365.599609,141000
30-07-2015,8421.799805,8458.900391,8408.299805,8417,215200
31-07-2015,8532.849609,8548.950195,8448,8456.099609,203300
03-08-2015,8543.049805,8563.950195,8508.099609,8510.650391,156700
04-08-2015,8516.900391,8565.150391,8448.25,8564.099609,187400
05-08-2015,8567.950195,8591.849609,8545.849609,8547.450195,132800
06-08-2015,8588.650391,8606.299805,8551.5,8585.799805,134900
07-08-2015,8564.599609,8595.950195,8552.700195,8580.799805,143700
10-08-2015,8525.599609,8621.549805,8497.799805,8577,123400
11-08-2015,8462.349609,8556.25,8441.299805,8548.450195,154400
12-08-2015,8349.450195,8446.950195,8337.950195,8445.700195,190000
13-08-2015,8355.849609,8429.5,8339.75,8384.450195,189200
14-08-2015,8518.549805,8530.099609,8381.200195,8402.349609,155900
17-08-2015,8477.299805,8530.599609,8428.049805,8530.5,174700
18-08-2015,8466.549805,8525.75,8433.599609,8505.849609,153300
19-08-2015,8495.150391,8520.450195,8425.950195,8468.049805,130500
20-08-2015,8372.75,8501.349609,8359.75,8471.049805,184100
21-08-2015,8299.950195,8322.200195,8225.049805,8305.400391,201300
24-08-2015,7809,8060.049805,7769.399902,8055.950195,312400
25-08-2015,7880.700195,7925.399902,7667.25,7895.399902,299100
26-08-2015,7791.850098,7930.049805,7777.100098,7865.25,216600
27-08-2015,7948.950195,7963.600098,7862.299805,7921.600098,305000
28-08-2015,8001.950195,8091.799805,7961.649902,8053.700195,195600
31-08-2015,7971.299805,8043.600098,7947.950195,8009.25,198200
01-09-2015,7785.850098,7929.100098,7746.5,7907.950195,184900
02-09-2015,7717,7862.549805,7699.25,7856.649902,215300
03-09-2015,7823,7845.600098,7754.049805,7774.450195,155800
04-09-2015,7655.049805,7804.899902,7626.850098,7803.399902,193600
07-09-2015,7558.799805,7705.049805,7545.899902,7685.850098,141400
08-09-2015,7688.25,7720.899902,7539.5,7587.700195,172200
09-09-2015,7818.600098,7846.049805,7764.549805,7805.850098,208400
10-09-2015,7788.100098,7819.850098,7678.5,7729.049805,160300
11-09-2015,7789.299805,7864.850098,7759.899902,7833.799805,136400
14-09-2015,7872.25,7879.950195,7761.850098,7811.100098,122800
15-09-2015,7829.100098,7880,7799.75,7867.350098,136500
16-09-2015,7899.149902,7913.899902,7853.299805,7886.850098,140000
18-09-2015,7981.899902,8055,7955.850098,7967.450195,241800
21-09-2015,7977.100098,7987.899902,7908.350098,7911.5,121800
22-09-2015,7812,8021.600098,7787.75,8014.799805,168400
23-09-2015,7845.950195,7882.899902,7723.25,7737.350098,146700
24-09-2015,7868.5,7894.5,7804.100098,7838.399902,202500
28-09-2015,7795.700195,7893.950195,7787.950195,7892.799805,136300
29-09-2015,7843.299805,7926.549805,7691.200195,7725.700195,240700
30-09-2015,7948.899902,7957.700195,7874.5,7924.25,210700
01-10-2015,7950.899902,8008.25,7930.649902,7992.049805,156900
05-10-2015,8119.299805,8128.899902,8005.100098,8005.100098,183100
06-10-2015,8152.899902,8180.950195,8096.5,8180.450195,178500
07-10-2015,8177.399902,8188.899902,8132.899902,8146.200195,193900
08-10-2015,8129.350098,8196.75,8105.850098,8196.75,171700
09-10-2015,8189.700195,8232.200195,8139.649902,8186.350098,199700
12-10-2015,8143.600098,8244.5,8128.200195,8231.5,199100
13-10-2015,8131.700195,8150.25,8088.600098,8121.950195,145900
14-10-2015,8107.899902,8139.299805,8096.350098,8102.399902,138900
15-10-2015,8179.5,8190.549805,8129.799805,8134.350098,167200
16-10-2015,8238.150391,8246.400391,8147.649902,8193.650391,156400
19-10-2015,8275.049805,8283.049805,8239.200195,8262.549805,124500
20-10-2015,8261.650391,8294.049805,8229.200195,8280.299805,155100
21-10-2015,8251.700195,8294.400391,8217.150391,8258.349609,144800
23-10-2015,8295.450195,8328.099609,8280.75,8308.25,152000
26-10-2015,8260.549805,8336.299805,8252.049805,8333.650391,133900
27-10-2015,8232.900391,8241.950195,8217.049805,8230.349609,156700
28-10-2015,8171.200195,8209.099609,8131.799805,8188.899902,188900
29-10-2015,8111.75,8179.600098,8098,8175.450195,217500
30-10-2015,8065.799805,8146.100098,8044.399902,8123.549805,199500
02-11-2015,8050.799805,8060.700195,7995.600098,8054.549805,136100
03-11-2015,8060.700195,8100.350098,8031.75,8086.350098,132500
04-11-2015,8040.200195,8116.100098,8027.299805,8104.899902,122100
05-11-2015,7955.450195,8031.200195,7944.100098,8030.350098,132100
06-11-2015,7954.299805,8002.649902,7926.149902,7956.549805,219500
09-11-2015,7915.200195,7937.75,7771.700195,7788.25,211800
10-11-2015,7783.350098,7885.100098,7772.850098,7877.600098,165200
13-11-2015,7762.25,7775.100098,7730.899902,7762.450195,160900
16-11-2015,7806.600098,7838.850098,7714.149902,7732.950195,149500
17-11-2015,7837.549805,7860.450195,7793,7848.75,145000
18-11-2015,7731.799805,7843.399902,7725.049805,7823.149902,143600
19-11-2015,7842.75,7854.899902,7765.450195,7788.5,132600
20-11-2015,7856.549805,7906.950195,7817.799805,7841.899902,151900
23-11-2015,7849.25,7877.5,7825.200195,7869.5,127000
24-11-2015,7831.600098,7870.350098,7812.649902,7837,130600
26-11-2015,7883.799805,7897.100098,7832,7837.149902,219800
27-11-2015,7942.700195,7959.299805,7879.450195,7910.600098,150300
30-11-2015,7935.25,7966,7922.799805,7936.25,216300
